file,snapshot,time_s,voltage_V,variable,units_inferred,min,max,mean,negative_count,jump_ratio
sim\snapshots\0\mu_n_ft.csv,0,0.0,0.0,mu_n_ft,m^{2} V^{-1} s^{-1},9.99984192673331e-11,0.009999498724937439,0.0030613211653038523,0,15324.899111017654
sim\snapshots\0\mu_p.csv,0,0.0,0.0,mu_p,m^{2} V^{-1} s^{-1},1.000000013351432e-10,0.009999999776482582,0.003061478690666241,0,15325.669860725033
sim\snapshots\0\mu_p_ft.csv,0,0.0,0.0,mu_p_ft,m^{2} V^{-1} s^{-1},9.999737149435362e-11,0.009999542497098446,0.0030613274438677845,0,15324.883410562208
sim\snapshots\0\Nad.csv,0,0.0,0.0,Nad,m^{-3},-2.9999999334588925e+23,2.9999999334588925e+23,1.4999999667294463e+22,1,7.843136978355395e+29
sim\snapshots\0\Nion.csv,0,0.0,0.0,Nion,m^{-3},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\0\phi.csv,0,0.0,0.0,phi,V,-1.3890137672424316,0.001224749954417348,-0.3423606659428,10,297.6291775648378
sim\snapshots\0\Q_nfree.csv,0,0.0,0.0,Q_nfree,m^{-3},2.2500000085301508e-08,2.6468017099466446e+23,2.4154694357813855e+22,0,4.319017351506198e+26
sim\snapshots\0\Q_nfree_and_ntrap.csv,0,0.0,0.0,Q_nfree_and_ntrap,m^{-3},6.749999670319085e-08,3.0068407211488832e+23,3.058095507942951e+22,0,4.906614502387637e+26
sim\snapshots\0\Q_ntrap.csv,0,0.0,0.0,Q_ntrap,m^{-3},6.749999670319085e-08,6.712952564207814e+22,6.676228856885398e+21,0,1.0954311671287035e+26
sim\snapshots\0\Q_pfree.csv,0,0.0,0.0,Q_pfree,m^{-3},2.2500000085301508e-08,3.2360611519591e+23,2.710677452191418e+22,0,4.4363795065895876e+26
sim\snapshots\0\Q_pfree_and_ptrap.csv,0,0.0,0.0,Q_pfree_and_ptrap,m^{-3},6.749999670319085e-08,3.1509892358619816e+23,1.6543478413647627e+22,0,4.884714035022393e+26
