omega_eV,eps1,eps2,n,k,alpha_cm1
4.775000000000000355e+00,-1.795619999999999994e-01,2.182676999999999978e+00,1.002618707920600816e+00,1.088488067675698057e+00,5.267900187435257249e+05
4.800000000000000711e+00,-9.148799999999784882e-02,2.184384000000001436e+00,1.023428318171361706e+00,1.067189543818275688e+00,5.191863764871632447e+05
4.825000000000000178e+00,-3.106300000000000033e-02,2.224664999999999893e+00,1.047334439370576131e+00,1.062060463387880294e+00,5.193821846840994549e+05
4.850000000000000533e+00,-1.429700000000065120e-02,2.274370000000000669e+00,1.063042317126182246e+00,1.069745749232499765e+00,5.258511127115862910e+05
4.875000000000000000e+00,-3.260400000000000104e-02,2.304632999999999932e+00,1.065893900766049063e+00,1.081079926596671292e+00,5.341619057857443113e+05
4.900000000000000355e+00,-6.272400000000000198e-02,2.301562999999999803e+00,1.058228128330661155e+00,1.087460698871556497e+00,5.400701069497184362e+05
4.925000000000000711e+00,-7.810999999999951315e-02,2.270229999999998860e+00,1.047249573148327562e+00,1.083901134079743311e+00,5.410487458916434553e+05
4.950000000000000178e+00,-6.450999999999999790e-02,2.236934999999999896e+00,1.042438246290898762e+00,1.072934060103436282e+00,5.382929851048283745e+05
4.975000000000000533e+00,-3.918799999999993122e-02,2.229504000000000374e+00,1.046580235149967786e+00,1.065137638339084258e+00,5.370804025064562447e+05
5.000000000000000000e+00,-3.715399999999999953e-02,2.244590999999999781e+00,1.050653243964140726e+00,1.068188297563857692e+00,5.413252801390826935e+05
5.025000000000000355e+00,-7.253600000000000325e-02,2.247212999999999905e+00,1.043035800234840549e+00,1.077246341637572602e+00,5.486451989697581157e+05
5.050000000000000711e+00,-1.211130000000008311e-01,2.206158999999996873e+00,1.021853196425375199e+00,1.079489210249346298e+00,5.525227607181450585e+05
5.075000000000000178e+00,-1.445609999999999951e-01,2.124667999999999779e+00,9.962477700533726166e-01,1.066335134625281844e+00,5.484919459345128853e+05
5.100000000000000533e+00,-1.254899999999980198e-01,2.030723999999997087e+00,9.770127113472498737e-01,1.039251575959402762e+00,5.371942519963126397e+05
5.125000000000000000e+00,-6.967500000000000082e-02,1.947615000000000096e+00,9.693260278372369809e-01,1.004623286731258114e+00,5.218402812953695538e+05
5.150000000000000355e+00,1.198899999999999966e-02,1.886752999999999902e+00,9.743664840510608549e-01,9.681947351860710205e-01,5.053711373477452435e+05
5.175000000000000711e+00,1.079590000000034272e-01,1.855113000000000012e+00,9.915166922762520541e-01,9.354925713560939826e-01,4.906718990385149955e+05
5.200000000000000178e+00,2.044140000000000124e-01,1.852776999999999896e+00,1.016964412215525471e+00,9.109350227721343396e-01,4.800994766707734088e+05
5.225000000000000533e+00,2.936960000000028437e-01,1.872927000000001341e+00,1.046305541186237198e+00,8.950191537151716004e-01,4.739790142847963725e+05
5.250000000000000000e+00,3.737869999999999804e-01,1.912396999999999903e+00,1.077583139840082360e+00,8.873547336142467712e-01,4.721685571678390261e+05
5.275000000000000355e+00,4.385049999999999781e-01,1.969719999999999915e+00,1.108252095361185185e+00,8.886606252515397708e-01,4.751151631931540905e+05
5.300000000000000711e+00,4.810580000000008738e-01,2.035739000000002186e+00,1.134209737730772050e+00,8.974261691990633727e-01,4.820755310341641307e+05
5.325000000000000178e+00,5.053130000000000122e-01,2.097198000000000118e+00,1.153804349883035485e+00,9.088187265945908422e-01,4.904981442217628355e+05
5.350000000000000533e+00,5.241680000000007444e-01,2.150667000000001661e+00,1.169997780146696975e+00,9.190902053379734760e-01,4.983705939235655242e+05
5.375000000000000000e+00,5.457999999999999519e-01,2.203758999999999801e+00,1.186621608971434538e+00,9.285853988072160226e-01,5.058721937980720541e+05
5.400000000000000355e+00,5.707419999999999716e-01,2.266262999999999916e+00,1.205771295163456935e+00,9.397565728635050020e-01,5.143391951833915082e+05
5.425000000000000711e+00,5.932630000000000958e-01,2.349196000000004059e+00,1.228049714305270435e+00,9.564743074464969741e-01,5.259125569074052619e+05
5.450000000000000178e+00,5.948780000000000179e-01,2.461034999999999862e+00,1.250357740679920449e+00,9.841323486595670023e-01,5.436138323142847512e+05
5.475000000000000533e+00,5.456479999999960251e-01,2.589656000000003733e+00,1.263361501467376913e+00,1.024906963284916595e+00,5.687338225468370365e+05
5.500000000000000000e+00,4.330579999999999985e-01,2.690952999999999928e+00,1.256708897095174526e+00,1.070634976095106605e+00,5.968217004918184830e+05
5.525000000000000355e+00,2.931880000000000042e-01,2.721182999999999907e+00,1.230877711491291659e+00,1.105383164629369475e+00,6.189928284588456154e+05
5.550000000000000711e+00,1.870139999999984592e-01,2.686511999999998235e+00,1.200005700187657176e+00,1.119374682795207132e+00,6.296641283101324225e+05
5.575000000000000178e+00,1.433669999999999944e-01,2.638888999999999818e+00,1.180285471989982682e+00,1.117902855972117138e+00,6.316688003736060346e+05
5.600000000000000533e+00,1.412069999999998604e-01,2.627225000000001476e+00,1.177332584916380709e+00,1.115753115839649645e+00,6.332812423619228648e+05
5.625000000000000000e+00,1.373379999999999879e-01,2.667625999999999831e+00,1.185009907626460635e+00,1.125571179967252311e+00,6.417058234625568148e+05
5.650000000000000355e+00,9.066699999999999759e-02,2.747215000000000185e+00,1.191506975485483677e+00,1.152832109472392341e+00,6.601688088340688264e+05
5.675000000000000711e+00,-2.810400000000659246e-02,2.827230000000001020e+00,1.183060793040414671e+00,1.194879424891658770e+00,6.872748282365661580e+05
5.700000000000000178e+00,-2.136389999999999956e-01,2.846884000000000192e+00,1.149184452667823431e+00,1.238654070454477285e+00,7.155918390636319527e+05
5.725000000000000533e+00,-4.060870000000044722e-01,2.763545999999994063e+00,1.092505312757491964e+00,1.264774627514067884e+00,7.338868819989218609e+05
5.750000000000000000e+00,-5.322689999999999921e-01,2.601217999999999808e+00,1.030254295864147407e+00,1.262415507725776376e+00,7.357167686817257199e+05
5.775000000000000355e+00,-5.699109999999999454e-01,2.423273000000000010e+00,9.796623376059070409e-01,1.236789915759127778e+00,7.239163963567086030e+05
5.800000000000000711e+00,-5.404309999999976633e-01,2.275055999999996637e+00,9.481383982366048402e-01,1.199748899649702771e+00,7.052755739690206246e+05
5.825000000000000178e+00,-4.759680000000000022e-01,2.176492999999999789e+00,9.359382804871729800e-01,1.162733187313962357e+00,6.864619780049690744e+05
5.850000000000000533e+00,-4.101569999999984395e-01,2.127475999999999257e+00,9.371487243106305653e-01,1.135079174100662058e+00,6.730115395971337566e+05
5.875000000000000000e+00,-3.661829999999999807e-01,2.108077999999999896e+00,9.416640841712705656e-01,1.119336521077606061e+00,6.665136284851235105e+05
5.900000000000000355e+00,-3.458180000000000143e-01,2.092423000000000144e+00,9.420693756332317870e-01,1.110546130741981719e+00,6.640933083696323447e+05
5.925000000000000711e+00,-3.336059999999991255e-01,2.064562999999998816e+00,9.374797262221347127e-01,1.101124078874641699e+00,6.612491146566316020e+05
5.950000000000000178e+00,-3.086829999999999852e-01,2.027500999999999998e+00,9.333224452618503753e-01,1.086173921077816740e+00,6.550234168482432142e+05
5.975000000000000533e+00,-2.629779999999980467e-01,2.000990999999999964e+00,9.368083615515736540e-01,1.067983102054026912e+00,6.467594455021884060e+05
6.000000000000000000e+00,-2.085750000000000104e-01,2.002364000000000033e+00,9.499007144775054590e-01,1.053985942678969279e+00,6.409535513368495740e+05
