omega_eV,eps1,eps2,n,k,alpha_cm1
2.675000000000000266e+00,3.230280000000039231e-01,7.400691999999986059e+00,1.966057789730758065e+00,1.882114564143476887e+00,5.102820962059178855e+05
2.700000000000000178e+00,5.437180000000000346e-01,6.580937999999999732e+00,1.890380758986695664e+00,1.740638220293670324e+00,4.763353017065474996e+05
2.725000000000000089e+00,1.011376999999999970e+00,5.992104999999999571e+00,1.882582696080002727e+00,1.591458641492091264e+00,4.395439964195667999e+05
2.750000000000000000e+00,1.607671999999999990e+00,5.682676999999999978e+00,1.938218692574834368e+00,1.465953512307433426e+00,4.085953138054198353e+05
2.775000000000000355e+00,2.230559000000009728e+00,5.659540000000004234e+00,2.038847365071815521e+00,1.387926359019193923e+00,3.903641267051793984e+05
2.800000000000000266e+00,2.791204000000007124e+00,5.913088000000009004e+00,2.159857356831933917e+00,1.368860767887304375e+00,3.884702786851775018e+05
2.825000000000000178e+00,3.192874000000000212e+00,6.422527999999999793e+00,2.276540489476640339e+00,1.410589451338177369e+00,4.038867195805358351e+05
2.850000000000000089e+00,3.315478999999999843e+00,7.119632000000000183e+00,2.363180053911468459e+00,1.506366810310494131e+00,4.351270551668202388e+05
2.875000000000000000e+00,3.074704999999999799e+00,7.832848000000000255e+00,2.396811785433557329e+00,1.634013994674830661e+00,4.761393886504847324e+05
2.900000000000000355e+00,2.550793999999989126e+00,8.348528000000005278e+00,2.374901172382121839e+00,1.757657981116345747e+00,5.166219539084399585e+05
2.925000000000000266e+00,1.960010999999990178e+00,8.615891000000003075e+00,2.323362797953429038e+00,1.854185452136327461e+00,5.496921423254880356e+05
2.950000000000000178e+00,1.406776999999999944e+00,8.774214999999999876e+00,2.268595520312753244e+00,1.933842970559681129e+00,5.782074875756388064e+05
2.975000000000000089e+00,7.980350000000000499e-01,8.908784999999999954e+00,2.207089933011777028e+00,2.018219753248374548e+00,6.085495025564408861e+05
3.000000000000000000e+00,5.291799999999999976e-02,8.918338000000000321e+00,2.117948653318170393e+00,2.105418841487900039e+00,6.401772684335592203e+05
3.025000000000000355e+00,-7.403540000000125021e-01,8.682050999999990637e+00,1.996647982153475276e+00,2.174156655955949979e+00,6.665867880589235574e+05
3.050000000000000266e+00,-1.447576000000009522e+00,8.206703999999987786e+00,1.855507838248654950e+00,2.211444174697206222e+00,6.836224385411685798e+05
3.075000000000000178e+00,-1.989935999999999927e+00,7.550930000000000142e+00,1.705696631843778066e+00,2.213444600590492861e+00,6.898493604077756172e+05
3.100000000000000089e+00,-2.311118000000000006e+00,6.786363999999999841e+00,1.558522145141790327e+00,2.177179201833732591e+00,6.840634083904180443e+05
3.125000000000000000e+00,-2.385549000000000142e+00,6.010655999999999999e+00,1.428495535730457400e+00,2.103841366548782066e+00,6.663516861402937211e+05
3.150000000000000355e+00,-2.240115999999995111e+00,5.328646999999991252e+00,1.330459917555406824e+00,2.002558261879422652e+00,6.393463691605385393e+05
3.175000000000000266e+00,-1.956696999999994135e+00,4.813254999999993622e+00,1.272611265377404655e+00,1.891093977771986179e+00,6.085514904625017662e+05
3.200000000000000178e+00,-1.632408000000000081e+00,4.472793000000000241e+00,1.250791914392918702e+00,1.787984455500299497e+00,5.799014655167618766e+05
3.225000000000000089e+00,-1.330702000000000051e+00,4.271929000000000087e+00,1.253731568013038977e+00,1.703685664855003168e+00,5.568775080436877906e+05
3.250000000000000000e+00,-1.084594999999999976e+00,4.176360999999999990e+00,1.270885943295990694e+00,1.643090405567307899e+00,5.412342978063316550e+05
3.275000000000000355e+00,-9.294529999999990855e-01,4.147467999999999044e+00,1.288581597679794299e+00,1.609315237571250501e+00,5.341865105498109479e+05
3.300000000000000266e+00,-8.772679999999998257e-01,4.109612999999998628e+00,1.289367279681349787e+00,1.593654913057680478e+00,5.330263944919367786e+05
3.325000000000000178e+00,-8.643300000000000427e-01,3.997383000000000131e+00,1.269927171448403502e+00,1.573863088322152493e+00,5.303945939317750745e+05
3.350000000000000089e+00,-8.055949999999999500e-01,3.836151000000000089e+00,1.247844390539027071e+00,1.537111129033849721e+00,5.219039252404871513e+05
3.375000000000000000e+00,-6.928969999999999851e-01,3.699047999999999892e+00,1.239049520559442730e+00,1.492695787626730386e+00,5.106056000506176497e+05
3.400000000000000355e+00,-5.747979999999982548e-01,3.610821999999998866e+00,1.241267120509093713e+00,1.454490310884515747e+00,5.012221311733755865e+05
3.425000000000000266e+00,-4.762489999999983681e-01,3.546140999999999099e+00,1.245337174026872828e+00,1.423767423778629526e+00,4.942425332518657087e+05
3.450000000000000178e+00,-3.854699999999999793e-01,3.491732999999999976e+00,1.250495012751378310e+00,1.396140314193408782e+00,4.881897446436244645e+05
3.475000000000000089e+00,-3.029290000000000038e-01,3.461190000000000211e+00,1.259264096792781507e+00,1.374290749976633919e+00,4.840318296030841302e+05
3.500000000000000000e+00,-2.567309999999999870e-01,3.452364999999999906e+00,1.265931788550387349e+00,1.363566754237717227e+00,4.837098569949103985e+05
3.525000000000000355e+00,-2.628050000000004549e-01,3.424669999999998105e+00,1.259351790783683311e+00,1.359695529502862987e+00,4.857818451942328829e+05
3.550000000000000266e+00,-2.872479999999996148e-01,3.332764999999997535e+00,1.236501702061455488e+00,1.347658880874858411e+00,4.848962437133464264e+05
3.575000000000000178e+00,-2.650699999999999723e-01,3.180839000000000194e+00,1.209709568130862722e+00,1.314711846461938061e+00,4.763729705250099651e+05
3.600000000000000089e+00,-1.629079999999999973e-01,3.026016999999999957e+00,1.197391115562729702e+00,1.263587544900850235e+00,4.610503185292839189e+05
3.625000000000000000e+00,-3.956000000000000315e-03,2.923042999999999836e+00,1.208116235507282976e+00,1.209752387266207929e+00,4.444725941917323507e+05
3.650000000000000355e+00,1.657630000000026027e-01,2.887283000000000488e+00,1.236487045950897867e+00,1.167534673919526700e+00,4.319198274192592362e+05
3.675000000000000266e+00,3.121140000000019454e-01,2.903191000000000965e+00,1.271226583985993752e+00,1.141885733264365044e+00,4.253245777491427725e+05
3.700000000000000178e+00,4.218330000000000135e-01,2.945075000000000109e+00,1.303258397671838820e+00,1.129889132217037018e+00,4.237191034479825175e+05
3.725000000000000089e+00,4.981679999999999997e-01,2.990153999999999979e+00,1.328445719155460392e+00,1.125433262678186663e+00,4.248997866780269542e+05
