file,snapshot,time_s,voltage_V,variable,units_inferred,min,max,mean,negative_count,jump_ratio
sim\snapshots\6\Jp.csv,6,0.0,0.6,Jp,A m^{-2},3.1082073026489354e-10,246.14002990722656,77.62602033055094,0,179853215.42280984
sim\snapshots\6\Jp_all.csv,6,0.0,0.6,Jp_all,A m^{-2},6.749999670319085e-08,0.001224749954417348,0.00011177045040255962,0,2366.536216069146
sim\snapshots\6\Jp_diffusion.csv,6,0.0,0.6,Jp_diffusion,A m^{-2},-8150937.5,0.001224749954417348,-417305.01557535183,9,10976470124272.547
sim\snapshots\6\Jp_drift.csv,6,0.0,0.6,Jp_drift,A m^{-2},-2.3326098918914795,8151181.0,417384.2427258705,1,9789823097603.541
sim\snapshots\6\Jp_drift_plus_diffusion.csv,6,0.0,0.6,Jp_drift_plus_diffusion,A m^{-2},-2.3326098918914795,244.99876403808594,79.22258198016425,1,193527869.36324978
sim\snapshots\6\Jp_x.csv,6,0.0,0.6,Jp_x,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\6\Jp_x_diffusion.csv,6,0.0,0.6,Jp_x_diffusion,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\6\Jp_x_drift.csv,6,0.0,0.6,Jp_x_drift,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\6\Jp_z.csv,6,0.0,0.6,Jp_z,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\6\Jp_z_diffusion.csv,6,0.0,0.6,Jp_z_diffusion,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\6\Jp_z_drift.csv,6,0.0,0.6,Jp_z_drift,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\6\mu_n.csv,6,0.0,0.6,mu_n,m^{2} V^{-1} s^{-1},1.000000013351432e-10,0.009999999776482582,0.0030614746856661764,0,15325.669860725033
sim\snapshots\6\mu_n_ft.csv,6,0.0,0.6,mu_n_ft,m^{2} V^{-1} s^{-1},9.999966826823581e-11,0.009999509900808334,0.0030613227483225645,0,15324.907394077245
sim\snapshots\6\mu_p.csv,6,0.0,0.6,mu_p,m^{2} V^{-1} s^{-1},1.000000013351432e-10,0.009999999776482582,0.003061478690666241,0,15325.669860725033
sim\snapshots\6\mu_p_ft.csv,6,0.0,0.6,mu_p_ft,m^{2} V^{-1} s^{-1},9.999735761656581e-11,0.009999547153711319,0.003061328887419906,0,15324.890547133615
sim\snapshots\6\Nad.csv,6,0.0,0.6,Nad,m^{-3},-2.9999999334588925e+23,2.9999999334588925e+23,1.4999999667294463e+22,1,7.843136978355395e+29
sim\snapshots\6\Nion.csv,6,0.0,0.6,Nion,m^{-3},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\6\phi.csv,6,0.0,0.6,phi,V,-0.8040900230407715,0.001224749954417348,-0.20944871728630607,10,222.96081953700943
sim\snapshots\6\Q_nfree.csv,6,0.0,0.6,Q_nfree,m^{-3},2.2500000085301508e-08,2.6701779140284888e+23,3.466174442416592e+22,0,4.35716234388036e+26
sim\snapshots\6\Q_nfree_and_ntrap.csv,6,0.0,0.6,Q_nfree_and_ntrap,m^{-3},6.749999670319085e-08,3.008903549922204e+23,3.890168696397758e+22,0,4.909980661926428e+26
sim\snapshots\6\Q_ntrap.csv,6,0.0,0.6,Q_ntrap,m^{-3},6.749999670319085e-08,6.7150967279904054e+22,6.670354068423327e+21,0,1.0957810554695511e+26
sim\snapshots\6\Q_pfree.csv,6,0.0,0.6,Q_pfree,m^{-3},2.2500000085301508e-08,5.453455265931088e+23,3.7599359428465934e+22,0,4.516871580013624e+26
sim\snapshots\6\Q_pfree_and_ptrap.csv,6,0.0,0.6,Q_pfree_and_ptrap,m^{-3},6.749999670319085e-08,4.765994834043819e+23,2.4865935159563427e+22,0,7.448223840667217e+26
sim\snapshots\6\Q_ptrap.csv,6,0.0,0.6,Q_ptrap,m^{-3},6.749999670319085e-08,9.330133378961244e+17,9.371313646618574e+16,0,1.4477768674293653e+21
sim\snapshots\6\Q_total.csv,6,0.0,0.6,Q_total,m^{-3},-3.008903549922204e+23,2.9405576425531697e+23,-1.4035752706575e+22,5,4.909980661926428e+26
sim\snapshots\6\R_n.csv,6,0.0,0.6,R_n,m^{-3} s^{-1},6.749999670319085e-08,1.1569748445756513e+27,8.3175662280765e+25,0,1.8879714877541486e+30
sim\snapshots\6\R_nfree_to_pfree.csv,6,0.0,0.6,R_nfree_to_pfree,m^{-3} s^{-1},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\6\R_p.csv,6,0.0,0.6,R_p,m^{-3} s^{-1},6.749999670319085e-08,1.1569748445756513e+27,8.317566228076647e+25,0,1.887971487754141e+30
sim\snapshots\6\R_srh_nfree.csv,6,0.0,0.6,R_srh_nfree,m^{-3} s^{-1},6.749999670319085e-08,1.1569748445756513e+27,8.3175662280765e+25,0,1.8879714877541486e+30
sim\snapshots\6\R_srh_nfree_to_ptrap.csv,6,0.0,0.6,R_srh_nfree_to_ptrap,m^{-3} s^{-1},6.749999670319085e-08,1.7031515632982078e+24,9.258706907490521e+22,0,2.779232031909507e+27
sim\snapshots\6\R_srh_pfree.csv,6,0.0,0.6,R_srh_pfree,m^{-3} s^{-1},6.749999670319085e-08,1.1569748445756513e+27,8.317566228076647e+25,0,1.887971487754141e+30
sim\snapshots\6\R_srh_pfree_to_ntrap.csv,6,0.0,0.6,R_srh_pfree_to_ntrap,m^{-3} s^{-1},6.749999670319085e-08,1.1568708049390756e+27,8.308307618762037e+25,0,1.887801714344116e+30
sim\snapshots\6\R_ss_srh.csv,6,0.0,0.6,R_ss_srh,m^{-3} s^{-1},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\6\sigma_e.csv,6,0.0,0.6,sigma_e,S/m,6.749999670319085e-08,3.388704538345337,0.17904363249728944,0,1782323.728943714
sim\snapshots\6\sigma_h.csv,6,0.0,0.6,sigma_h,S/m,1.1975684268713096e-15,32.301780700683594,1.6601600944199373,0,43493796.439057946
sim\snapshots\6\Te.csv,6,0.0,0.6,Te,K,6.749999670319085e-08,300.0,135.00006147374773,0,489545.1681418984
sim\snapshots\6\Th.csv,6,0.0,0.6,Th,K,6.749999670319085e-08,300.0,135.00006147374773,0,489545.1681418984
sim\snapshots\6\Tl.csv,6,0.0,0.6,Tl,K,6.749999670319085e-08,300.0,135.00006147374773,0,489545.1681418984
sim\snapshots\6\T_srh_nfree_to_ntrap.csv,6,0.0,0.6,T_srh_nfree_to_ntrap,m^{-3} s^{-1},6.749999670319085e-08,1.1568708049390756e+27,8.308307618762011e+25,0,1.8878017143441237e+30
sim\snapshots\6\T_srh_pfree_to_ptrap.csv,6,0.0,0.6,T_srh_pfree_to_ptrap,m^{-3} s^{-1},6.749999670319085e-08,1.7031515632982078e+24,9.258706907615022e+22,0,2.7792320318682056e+27
sim\snapshots\7\boundary_x0.csv,7,0.0,0.7,boundary_x0,au,0.0,42.0,18.90000023625,0,50450448.989831276
sim\snapshots\7\boundary_x1.csv,7,0.0,0.7,boundary_x1,au,0.0,42.0,18.90000023625,0,50450448.989831276
sim\snapshots\7\boundary_y0.csv,7,0.0,0.7,boundary_y0,au,201326592.0,201326592.0,201326592.0,0,0.0
sim\snapshots\7\boundary_y1.csv,7,0.0,0.7,boundary_y1,au,201326592.0,201326592.0,201326592.0,0,0.0
sim\snapshots\7\boundary_z0.csv,7,0.0,0.7,boundary_z0,au,6.749999670319085e-08,42.0,18.90006147374772,0,68536.32230841492
sim\snapshots\7\boundary_z1.csv,7,0.0,0.7,boundary_z1,au,6.749999670319085e-08,42.0,18.90006147374772,0,68536.32230841492
sim\snapshots\7\dcharge.csv,7,0.0,0.7,dcharge,m^{-3},-1.8707227772557034e+22,6.067775776199981e+21,-8.910280697845421e+20,5,3.25007796362872e+25
sim\snapshots\7\dn.csv,7,0.0,0.7,dn,m^{-3},-1.2096959925718048e+21,1.8262577473427564e+23,1.0143214560257797e+22,1,2.9801183449130393e+26
sim\snapshots\7\dnt.csv,7,0.0,0.7,dnt,m^{-3},-1.2758665198796433e+20,1.9769057219300871e+21,9.250267284072532e+19,1,3.4341469201883974e+24
sim\snapshots\7\dp.csv,7,0.0,0.7,dp,m^{-3},6.749999670319085e-08,1.780020370832454e+23,9.252186567885166e+21,0,2.8056523891366196e+26
sim\snapshots\7\dphi.csv,7,0.0,0.7,dphi,V,-2.0894784927368164,0.001224749954417348,-0.5010056922826855,9,482.38175242175237
sim\snapshots\7\dpt.csv,7,0.0,0.7,dpt,m^{-3},6.749999670319085e-08,2.656382640591995e+17,2.508590716917773e+16,0,3.6488027690352266e+20
sim\snapshots\7\Ec.csv,7,0.0,0.7,Ec,eV,-3.6678173542022705,0.001224749954417348,-1.5248045350108235,9,5985.208994015407
sim\snapshots\7\Efield_y.csv,7,0.0,0.7,Efield_y,au,6.749999670319085e-08,1113329.375,326584.35532782093,0,624347390.0464665
sim\snapshots\7\Eg.csv,7,0.0,0.7,Eg,eV,6.749999670319085e-08,1.600000023841858,0.7158016358818919,0,2610.90617804632
sim\snapshots\7\epsilon_r.csv,7,0.0,0.7,epsilon_r,au,6.749999670319085e-08,20.0,4.849502954384318,0,32636.343206334936
sim\snapshots\7\Ev.csv,7,0.0,0.7,Ev,eV,-5.267817497253418,0.001224749954417348,-2.2405446673426717,9,8596.116798509098
sim\snapshots\7\Fi.csv,7,0.0,0.7,Fi,eV,-3.8595263957977295,0.001224749954417348,-1.7367254043612568,9,6298.043111604351
sim\snapshots\7\Fn.csv,7,0.0,0.7,Fn,eV,-3.824446201324463,0.001224749954417348,-1.6720595623049825,9,6240.798645764025
sim\snapshots\7\Fp.csv,7,0.0,0.7,Fp,eV,-4.579510688781738,0.001224749954417348,-2.0513998652491656,9,7418.200556420797
sim\snapshots\7\G_n.csv,7,0.0,0.7,G_n,m^{-3} s^{-1},6.749999670319085e-08,8.791032301798335e+27,6.237690177050829e+26,0,1.3513281578158053e+31
sim\snapshots\7\G_p.csv,7,0.0,0.7,G_p,m^{-3} s^{-1},6.749999670319085e-08,8.791032301798335e+27,6.237690177050829e+26,0,1.3513281578158053e+31
sim\snapshots\7\H_joule_device.csv,7,0.0,0.7,H_joule_device,W m^{-3},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\7\Jn.csv,7,0.0,0.7,Jn,A m^{-2},2.2500000085301508e-08,243.43617248535156,34.17788886676221,0,397236.0472302129
sim\snapshots\7\Jn_all.csv,7,0.0,0.7,Jn_all,A m^{-2},6.749999670319085e-08,0.001224749954417348,0.00011177045040255962,0,2366.536216069146
sim\snapshots\7\Jn_diffusion.csv,7,0.0,0.7,Jn_diffusion,A m^{-2},-48290344.0,1.1366865634918213,-2789942.7019950654,8,78800989390.21794
sim\snapshots\7\Jn_drift.csv,7,0.0,0.7,Jn_drift,A m^{-2},6.749999670319085e-08,48290592.0,2789974.2529605348,0,78800996837.57367
